const_price,const_units
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
9617872.357458686,439.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1441431.55152812,588.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
1705178.6452792627,12.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
9500115.714935185,112.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
123599.97278006242,867.0
